Reaction_SMILES,X91, X92 ,X93, X94 ,X95,X96,X97,X98,X99,X100
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.06,-1.35,1.41,-1.5,-1.53,-0.04,-0.71,0.72,1.27,0.26
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.59,-1.26,1.75,-1,-1.46,0.77,0.52,0.38,0.14,0.54
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.95,-2.33,1.64,-0.76,-2.08,0.94,-0.18,-0.12,0.24,-0.97
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.18,-1.33,2.25,-1.21,-1.53,-1.31,-0.56,0.63,-0.01,-0.41
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.82,1.69,-0.86,-1.76,1.83,0.32,-0.36,0.38,-0.99
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.95,-2.41,1.38,-0.83,-2.08,1.65,-0.24,-0.13,0.2,-0.92
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.82,-2.28,1.39,-0.1,-0.96,0.14,-0.41,-0.08,-0.41,-0.62
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.55,-2.5,1.59,-0.81,-1.9,1.18,-0.67,0.01,0.19,-0.85
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-2.49,1.84,-0.26,-0.47,-0.03,-0.84,0.15,-0.19,-0.89
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-2.59,1.1,-1.32,-0.1,0.2,-1.62,-0.32,0.08,-0.77
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-2.82,1.83,-1.11,-0.16,0.12,-1.74,-0.09,-0.61,-0.78
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.18,-2.29,1.82,-1.96,0.08,0.43,-1.29,-0.08,-0.55,-0.37
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-2.57,1.12,-1.63,-0.65,0.83,-1.35,0.27,-0.77,-0.29
